review_id,rating,title,review_text,verified_purchase,review_date,variant
R015,5,Great for travel,Compact enough for my work bag and camping kit; I like that it needs no battery. Review sample 3 adds no new product specification.,Y,2026-05-31,G2 Travel Kit
R016,5,Great for travel,Compact enough for my work bag and camping kit; I like that it needs no battery. Review sample 4 adds no new product specification.,Y,2026-06-02,G2 Black
R017,5,Great for travel,Compact enough for my work bag and camping kit; I like that it needs no battery. Review sample 5 adds no new product specification.,Y,2026-06-04,G2 Silver
R018,5,Great for travel,Compact enough for my work bag and camping kit; I like that it needs no battery. Review sample 6 adds no new product specification.,Y,2026-06-06,G2 Travel Kit
R019,5,Great for travel,Compact enough for my work bag and camping kit; I like that it needs no battery. Review sample 7 adds no new product specification.,Y,2026-06-08,G2 Black
R020,5,Great for travel,Compact enough for my work bag and camping kit; I like that it needs no battery. Review sample 8 adds no new product specification.,Y,2026-06-10,G2 Silver
R021,5,Great for travel,Compact enough for my work bag and camping kit; I like that it needs no battery. Review sample 9 adds no new product specification.,N,2026-06-12,G2 Travel Kit
R022,5,Great for travel,Compact enough for my work bag and camping kit; I like that it needs no battery. Review sample 10 adds no new product specification.,Y,2026-06-14,G2 Black
R023,4,Solid hand feel,The body feels secure in my hand and the folding handle is comfortable for one cup. Review sample 1 adds no new product specification.,Y,2026-06-16,G2 Silver
R024,4,Solid hand feel,The body feels secure in my hand and the folding handle is comfortable for one cup. Review sample 2 adds no new product specification.,Y,2026-06-18,G2 Travel Kit
R025,4,Solid hand feel,The body feels secure in my hand and the folding handle is comfortable for one cup. Review sample 3 adds no new product specification.,Y,2026-06-20,G2 Black
R026,4,Solid hand feel,The body feels secure in my hand and the folding handle is comfortable for one cup. Review sample 4 adds no new product specification.,Y,2026-06-22,G2 Silver
R027,4,Solid hand feel,The body feels secure in my hand and the folding handle is comfortable for one cup. Review sample 5 adds no new product specification.,Y,2026-06-24,G2 Travel Kit
R028,4,Solid hand feel,The body feels secure in my hand and the folding handle is comfortable for one cup. Review sample 6 adds no new product specification.,N,2026-06-26,G2 Black
R029,4,Solid hand feel,The body feels secure in my hand and the folding handle is comfortable for one cup. Review sample 7 adds no new product specification.,Y,2026-06-28,G2 Silver
R030,4,Solid hand feel,The body feels secure in my hand and the folding handle is comfortable for one cup. Review sample 8 adds no new product specification.,Y,2026-06-30,G2 Travel Kit
R031,4,Quick routine clean,The included brush clears loose grounds quickly after my morning coffee. Review sample 1 adds no new product specification.,Y,2026-07-02,G2 Black
R032,4,Quick routine clean,The included brush clears loose grounds quickly after my morning coffee. Review sample 2 adds no new product specification.,Y,2026-07-04,G2 Silver
R033,4,Quick routine clean,The included brush clears loose grounds quickly after my morning coffee. Review sample 3 adds no new product specification.,Y,2026-07-06,G2 Travel Kit
R034,4,Quick routine clean,The included brush clears loose grounds quickly after my morning coffee. Review sample 4 adds no new product specification.,Y,2026-07-08,G2 Black
R035,4,Quick routine clean,The included brush clears loose grounds quickly after my morning coffee. Review sample 5 adds no new product specification.,N,2026-07-10,G2 Silver
R036,4,Quick routine clean,The included brush clears loose grounds quickly after my morning coffee. Review sample 6 adds no new product specification.,Y,2026-07-12,G2 Travel Kit
R037,3,Capacity is limited,Thirty grams is smaller than I expected when making coffee for several people. Review sample 1 adds no new product specification.,Y,2026-07-14,G2 Black
R038,3,Capacity is limited,Thirty grams is smaller than I expected when making coffee for several people. Review sample 2 adds no new product specification.,Y,2026-07-16,G2 Silver
R039,3,Capacity is limited,Thirty grams is smaller than I expected when making coffee for several people. Review sample 3 adds no new product specification.,Y,2026-07-18,G2 Travel Kit
R040,3,Capacity is limited,Thirty grams is smaller than I expected when making coffee for several people. Review sample 4 adds no new product specification.,Y,2026-07-20,G2 Black
R041,3,Capacity is limited,Thirty grams is smaller than I expected when making coffee for several people. Review sample 5 adds no new product specification.,Y,2026-07-22,G2 Silver
R042,3,Capacity is limited,Thirty grams is smaller than I expected when making coffee for several people. Review sample 6 adds no new product specification.,N,2026-07-24,G2 Travel Kit
R043,3,Capacity is limited,Thirty grams is smaller than I expected when making coffee for several people. Review sample 7 adds no new product specification.,Y,2026-07-26,G2 Black
R044,3,Capacity is limited,Thirty grams is smaller than I expected when making coffee for several people. Review sample 8 adds no new product specification.,Y,2026-07-28,G2 Silver
R045,2,Adjustment takes practice,The adjustment clicks are not obvious at first and I lost my previous setting. Review sample 1 adds no new product specification.,Y,2026-07-30,G2 Travel Kit
R046,2,Adjustment takes practice,The adjustment clicks are not obvious at first and I lost my previous setting. Review sample 2 adds no new product specification.,Y,2026-08-01,G2 Black
R047,2,Adjustment takes practice,The adjustment clicks are not obvious at first and I lost my previous setting. Review sample 3 adds no new product specification.,Y,2026-08-03,G2 Silver
R048,2,Adjustment takes practice,The adjustment clicks are not obvious at first and I lost my previous setting. Review sample 4 adds no new product specification.,Y,2026-08-05,G2 Travel Kit
R049,2,Adjustment takes practice,The adjustment clicks are not obvious at first and I lost my previous setting. Review sample 5 adds no new product specification.,N,2026-08-07,G2 Black
R050,2,Adjustment takes practice,The adjustment clicks are not obvious at first and I lost my previous setting. Review sample 6 adds no new product specification.,Y,2026-08-09,G2 Silver
R051,2,Box arrived damaged,The shipping box was crushed even though the grinder inside still worked. Review sample 1 adds no new product specification.,Y,2026-08-11,G2 Travel Kit
R052,2,Box arrived damaged,The shipping box was crushed even though the grinder inside still worked. Review sample 2 adds no new product specification.,Y,2026-08-13,G2 Black
R053,2,Box arrived damaged,The shipping box was crushed even though the grinder inside still worked. Review sample 3 adds no new product specification.,Y,2026-08-15,G2 Silver
R054,2,Box arrived damaged,The shipping box was crushed even though the grinder inside still worked. Review sample 4 adds no new product specification.,Y,2026-08-17,G2 Travel Kit
R055,2,Expected an electric grinder,"I thought this would grind automatically, but it is a manual hand grinder. Review sample 1 adds no new product specification.",Y,2026-08-19,G2 Black
R056,2,Expected an electric grinder,"I thought this would grind automatically, but it is a manual hand grinder. Review sample 2 adds no new product specification.",N,2026-08-21,G2 Silver
R057,2,Expected an electric grinder,"I thought this would grind automatically, but it is a manual hand grinder. Review sample 3 adds no new product specification.",Y,2026-08-23,G2 Travel Kit
R058,2,Grounds in the gap,Fine grounds collect around the adjustment area and are harder to brush out. Review sample 1 adds no new product specification.,Y,2026-08-25,G2 Black
R059,2,Grounds in the gap,Fine grounds collect around the adjustment area and are harder to brush out. Review sample 2 adds no new product specification.,Y,2026-08-27,G2 Silver
R060,5,Capacity works for me,"The 30 gram capacity is just right for my two small cups, so I do not see it as too small. Review sample 1 adds no new product specification.",Y,2026-08-29,G2 Travel Kit
